artist1,artist1_normalized,artist2,artist2_normalized,shows_together
Book on Tapeworm,book on tapeworm,Grey Fiction,grey fiction,2
art,art,"Cabaret Velour"" (Music","cabaret velour"" (music",2
Apache,apache,Candy Claws,candy claws,2
Sayde Price,sayde price,The Devil Whale,the devil whale,2
Kristian H,kristian h,Steady Machete,steady machete,2
Better Taste Bureau,better taste bureau,The Vibrant Sound,the vibrant sound,2
Marcus Bently,marcus bently,T.B.S,t.b.s,2
Kambree,kambree,Mowth,mowth,2
Cody Rigby,cody rigby,Cory Mon,cory mon,2
Kiss Me Kill Me,kiss me kill me,Tempered,tempered,2
American Hitmen,american hitmen,Kiss Me Kill Me,kiss me kill me,2
The Archers Apple,the archers apple,The Devil Whale,the devil whale,2
Mimi Knowles,mimi knowles,Ryan Innes,ryan innes,2
Bryn Johnson,bryn johnson,Ryley Shupe,ryley shupe,2
Pariah Poetic,pariah poetic,Return To Sender,return to sender,2
The Archers Apple,the archers apple,Timber!,timber!,2
Andrew Belle,andrew belle,Ryan Innes,ryan innes,2
Mason Porter,mason porter,Prince of Whales,prince of whales,2
The Handsome,the handsome,Truman,truman,2
Moncheri,moncheri,Truman,truman,2
Moncheri,moncheri,The Handsome,the handsome,2
David Oliver,david oliver,Tom Butler,tom butler,2
DefMoe,defmoe,The Bombshell Flowers,the bombshell flowers,2
Cory Mon,cory mon,Debra fotheringham,debra fotheringham,2
Brady Parks,brady parks,Mad Diving Barons,mad diving barons,2
Cowboys,cowboys,The Devil Whale,the devil whale,2
Brady Parks,brady parks,the Carrolls,the carrolls,2
Lucy Moore,lucy moore,Paul Jacobsen,paul jacobsen,2
Apollo,apollo,The North Valley,the north valley,2
A Film In The Ballroom,a film in the ballroom,Code Hero,code hero,2
Moriah Glazier,moriah glazier,The North Valley,the north valley,2
Cherish Degraaf,cherish degraaf,The Penny Candies,the penny candies,2
Cody Taylor,cody taylor,The North Valley,the north valley,2
Apollo,apollo,Moriah Glazier,moriah glazier,2
Apollo,apollo,Cody Taylor,cody taylor,2
The Highwire Act,the highwire act,Vol Suetra,vol suetra,2
Cody Taylor,cody taylor,Moriah Glazier,moriah glazier,2
Coral Bones,coral bones,Swimm,swimm,2
Preacher,preacher,Victoria,victoria,2
New Nervous,new nervous,Return To Sender,return to sender,2
Joe Castor,joe castor,Joshua James,joshua james,2
Lighten Up Francis,lighten up francis,Swerved By Blondes,swerved by blondes,2
Mighty Sequoyah,mighty sequoyah,Parlor Hawk,parlor hawk,2
Cowboys,cowboys,Ferocious Oaks,ferocious oaks,2
Justian Read,justian read,Kathleen Frewin,kathleen frewin,2
J.R. Boyce,j.r. boyce,Justian Read,justian read,2
Imagine Dragons,imagine dragons,The Vibrant Sound,the vibrant sound,2
Hello Helicopter,hello helicopter,Imagine Dragons,imagine dragons,2
The New Electric Sound,the new electric sound,Toy Bombs,toy bombs,2
Pinguin Mofex,pinguin mofex,The Lovestrange,the lovestrange,2
Desert Noises,desert noises,Drew Capener,drew capener,2
Mansions,mansions,The Record Life,the record life,2
Cactus Tree,cactus tree,Seaslak,seaslak,2
Boots to the Moon,boots to the moon,Return To Sender,return to sender,2
John Whites,john whites,Shark Speed,shark speed,2
Allred $12/$14,allred $12/$14,Mury,mury,2
Ari,ari,Uzi,uzi,2
Abby Normal,abby normal,Code Hero,code hero,2
Lake Island,lake island,The Devil Whale,the devil whale,2
Abby Normal,abby normal,Cory Mon,cory mon,2
RuRu,ruru,Young Buffalo,young buffalo,2
Lake Island,lake island,Timmy The Teeth,timmy the teeth,2
Joshua James,joshua james,Palomino,palomino,2
Desert Noises,desert noises,The Archers Apple,the archers apple,2
RKDN,rkdn,Static Waves,static waves,2
Cowboys,cowboys,Timmy The Teeth,timmy the teeth,2
Hollow Hill,hollow hill,Lonely Heights,lonely heights,2
Eyes Lips Eyes,eyes lips eyes,Fatigi,fatigi,2
Caleb Blood,caleb blood,Double or Nothing,double or nothing,2
Mighty Sequoyah,mighty sequoyah,Timber!,timber!,2
Auburn,auburn,Cory Mon,cory mon,2
Hayley Hernandez,hayley hernandez,Marlee,marlee,2
Old,old,Strange Family,strange family,2
Abby Normal,abby normal,Side Dish,side dish,2
Strange Family,strange family,Young,young,2
Kieran Hellum,kieran hellum,Southernmost Gravy,southernmost gravy,2
Hollow Hill,hollow hill,Southernmost Gravy,southernmost gravy,2
Cory Mon,cory mon,Forgotten Charity,forgotten charity,2
Hollow Hill,hollow hill,Kieran Hellum,kieran hellum,2
Kathleen Frewin,kathleen frewin,Nick Allen,nick allen,2
Andrew Norsworthy,andrew norsworthy,Jared Woods,jared woods,2
His Troubles,his troubles,John Ross Boyce,john ross boyce,2
Pariah Poetic,pariah poetic,The New Nervous,the new nervous,2
Fellows,fellows,Friends,friends,2
Broke City,broke city,The Trademark,the trademark,2
Harbor Patrol,harbor patrol,With Andrea,with andrea,2
The Neighbors,the neighbors,The New Electric Sound,the new electric sound,2
KYLE HENDERSON,kyle henderson,Timmy The Teeth,timmy the teeth,2
Lake Island,lake island,Soft Science,soft science,2
Blacksheep Wahl,blacksheep wahl,Maple Grove. Modern Crush,maple grove. modern crush,2
Mia Grace,mia grace,Tessa Barton,tessa barton,2
Kenzie James,kenzie james,Lo-Fi Riot,lo-fi riot,2
Faith Marie,faith marie,Jenn Blosil,jenn blosil,2
Mansions,mansions,Spiral Diary $10,spiral diary $10,2
Night Night,night night,Norther,norther,2
Deadtooth,deadtooth,The New Electric Sound,the new electric sound,2
Cody Rigby,cody rigby,Moses,moses,2
Knife,knife,Spork,spork,2
Image Down,image down,Whilmington,whilmington,2
New Hollywood,new hollywood,Say Hey,say hey,2
Allred,allred,Broke City,broke city,2
Angel Taylor,angel taylor,Jordan Clark,jordan clark,2
Chasing Kings,chasing kings,The Neighbors,the neighbors,2
Angel Taylor,angel taylor,"The Lamplight Pages"" Caleb Loveless","the lamplight pages"" caleb loveless",2
Jordan Clark,jordan clark,"The Lamplight Pages"" Caleb Loveless","the lamplight pages"" caleb loveless",2
Marcus Bently,marcus bently,Matt Lewis Band,matt lewis band,2
Spiral Diary $10,spiral diary $10,The Record Life,the record life,2
Jack,jack,the Giant,the giant,2
The Eden Express,the eden express,The Weakmen,the weakmen,2
Brother,brother,Harpers,harpers,2
Josh Snider,josh snider,T.A.K,t.a.k,2
Marcus Bently,marcus bently,the Southern Boys,the southern boys,2
Joshua James,joshua james,the Southern Boys,the southern boys,2
Joshua James,joshua james,Marcus Bently,marcus bently,2
A Sweet Bitter Winter,a sweet bitter winter,Shady Chapel,shady chapel,2
Return To Sender,return to sender,The New Nervous,the new nervous,2
Crossing Columbia,crossing columbia,Victoria,victoria,2
Broke City,broke city,This is Anfield,this is anfield,2
Digital Black,digital black,The Trademark,the trademark,2
Concubine,concubine,Mirrim,mirrim,2
Code Hero,code hero,Mighty Sequoyah,mighty sequoyah,2
Boots to the Moon,boots to the moon,In Dreaming,in dreaming,2
Matt Hopper,matt hopper,Mia Grace,mia grace,2
Botanical Animal,botanical animal,Rally,rally,2
furniture,furniture,more...),more...),2
Beeson,beeson,Paige Fish,paige fish,2
Desert Noises,desert noises,The Color Gypsy,the color gypsy,2
Goodmorning Maxfield,goodmorning maxfield,Johan The Angel,johan the angel,2
Good Blood,good blood,Jason Anderson,jason anderson,2
Robert,robert,The Fellows,the fellows,2
Mudbison,mudbison,The Devil Whale,the devil whale,2
Baby Ghosts,baby ghosts,Jason Anderson,jason anderson,2
Cody Rigby,cody rigby,Hello Kavita,hello kavita,2
Boots to the Moon,boots to the moon,Ricky,ricky,2
Apt,apt,Chance,chance,2
Band of Annuals,band of annuals,John Whites,john whites,2
Black Tie Event,black tie event,Sepia Ria,sepia ria,2
Ryan Innes,ryan innes,The Strike,the strike,2
Mad Diving Barons,mad diving barons,Sunflow,sunflow,2
Kid Theodore,kid theodore,The Yaks,the yaks,2
Apt,apt,Seve vs. Evan,seve vs. evan,2
Baby Ghosts,baby ghosts,Good Blood,good blood,2
Another Statistic,another statistic,The New Nervous,the new nervous,2
Chance Lewis,chance lewis,Kid Theodore,kid theodore,2
In Memory,in memory,The Trademark,the trademark,2
Antoine Dufour,antoine dufour,Nick Johnson,nick johnson,2
Joe Castor,joe castor,Joseph Reni,joseph reni,2
Cody Rigby,cody rigby,Shady Chapel,shady chapel,2
Pando,pando,the Carrolls,the carrolls,2
the Carrolls,the carrolls,The Fellows,the fellows,2
Due to illness,due to illness,Slumber Party rescheduled for next weekend,slumber party rescheduled for next weekend,2
Grove,grove,Haarlem,haarlem,2
Swimm,swimm,The Brocks,the brocks,2
Code Hero,code hero,Cowboys,cowboys,2
Cas Haley,cas haley,Cubworld,cubworld,2
Egan's Theory,egan's theory,Quasi-Stellar Radio,quasi-stellar radio,2
Pando,pando,Robert,robert,2
Cyber Cowboy,cyber cowboy,The F.C.B,the f.c.b,2
Diatom,diatom,Mooninite,mooninite,1
Jeff Stone,jeff stone,Matt Lewis,matt lewis,1
Donnie B,donnie b,Matt Lewis,matt lewis,1
Cory Mon,cory mon,Matt Lewis,matt lewis,1
Matt Lewis,matt lewis,Peter Harper,peter harper,1
Kitfox,kitfox,The Sash,the sash,1
Gils,gils,Mooninite,mooninite,1
Simple Talk,simple talk,Soul Research Foundation,soul research foundation,1
Acoustic Showcase: James McIntyre,acoustic showcase: james mcintyre,Seth Brown,seth brown,1
